SortOrder,CruiseID,StationNum,StationNme,DBOregion,Latitude,Longitude,DataDate,DataYear,ChirkNum,gc_Polychaeta,gc_Bivalvia,gc_Crustacea,gc_Sipuncula,gc_Ophiuroidea,gc_Echinoidea,gc_Anthozoa,gc_Ascidiacea,gc_Nemertea,gc_Others,TotGC,DomTaxGCfm,ww_Polychaeta,ww_Bivalvia,ww_Crustacea,ww_Sipuncula,ww_Ophiuroidea,ww_Echinoidea,ww_Anthozoa,ww_Ascidiacea,ww_Nemertea,ww_Others,ww_TotWW,DomTaxWW,abd_Polychaeta,abd_Bivalvia,abd_Crustacea,abd_Sipuncula,abd_Ophiuroidea,abd_Echinoidea,abd_Anthozoa,abd_Ascidiacea,abd_Nemertea,abd_Others,TotAbd,DomTaxAbd
53,BLU0803,16,BF021,,71.618,-163.772,20080913,2008,16,3.06,1.83,0.38,0.04,0.65,0.00,0.02,0.00,0.09,0.08,6.15,Polychaeta,43.08,47.45,5.53,0.83,46.10,0.00,0.40,0.00,0.97,1.66,146.02,Bivalvia,743,207,270,17,63,0,3,0,7,13,1323,Polychaeta
54,BLU0803,17,BF023,,71.611,-162.984,20080918,2008,17,2.34,5.95,0.18,1.71,0.22,0.00,0.01,0.00,0.03,0.11,10.55,Bivalvia,33.24,213.31,2.56,37.90,15.47,0.00,0.22,0.00,0.34,4.72,307.75,Bivalvia,963,270,270,37,10,0,3,0,10,50,1613,Polychaeta
55,BLU0803,18,BF025,,71.601,-162.195,20080918,2008,18,2.73,11.24,1.22,0.02,0.00,0.00,0.27,0.00,0.12,0.05,15.64,Bivalvia,37.66,309.20,17.48,0.46,0.00,0.00,4.40,0.08,1.24,1.75,372.27,Bivalvia,1420,503,747,13,0,0,13,3,7,30,2737,Polychaeta
56,BLU0803,19,BN001,,71.038,-163.826,20080904,2008,19,6.57,2.00,0.13,0.84,0.43,0.00,0.00,0.00,0.87,0.03,10.87,Polychaeta,93.61,97.25,1.72,18.65,30.46,0.00,0.00,0.00,9.35,0.98,252.01,Bivalvia,597,160,350,7,87,0,0,0,17,50,1267,Polychaeta
57,BLU0803,20,BR005,,71.587,-163.065,20080921,2008,20,4.04,3.96,1.00,0.28,0.23,0.00,0.01,0.00,0.09,0.15,9.77,Polychaeta,56.74,112.84,14.48,6.18,16.62,0.00,0.18,0.32,1.02,4.18,212.56,Bivalvia,1263,327,623,70,7,0,3,3,20,87,2403,Polychaeta
58,BLU0803,21,BR016,,71.536,-162.913,20080918,2008,21,3.37,7.35,2.00,0.07,0.53,0.00,0.00,0.00,0.65,3.11,17.08,Bivalvia,48.99,218.05,28.54,1.54,37.76,0.00,0.00,0.00,6.94,71.85,413.68,Bivalvia,1363,613,570,17,13,0,0,0,57,83,2717,Polychaeta
59,BLU0803,22,BR020,,71.528,-162.285,20080919,2008,22,2.45,6.87,2.58,0.43,0.39,0.00,0.04,0.02,0.31,0.55,13.64,Bivalvia,34.56,214.73,37.68,9.54,28.03,0.00,0.68,1.15,3.33,21.66,351.37,Bivalvia,1360,487,1763,77,10,0,7,3,50,97,3853,Crustacea
60,BLU0803,23,BR032,,71.442,-163.550,20080914,2008,23,10.09,4.39,0.15,9.44,0.70,0.00,1.20,0.00,0.38,0.14,26.49,Polychaeta,140.11,265.09,2.06,209.76,50.35,0.00,25.50,0.00,4.04,3.48,700.39,Bivalvia,1303,207,607,60,110,0,10,0,23,93,2413,Polychaeta
61,BLU0803,24,BR038,,71.433,-162.611,20080918,2008,24,3.25,11.12,0.29,0.23,0.83,0.00,0.20,0.00,0.48,0.16,16.56,Bivalvia,44.39,326.85,4.14,5.05,59.56,0.00,3.34,0.00,5.13,6.61,455.08,Bivalvia,2823,613,520,40,57,0,7,0,20,80,4160,Polychaeta
62,BLU0803,25,BR043,,71.391,-162.397,20080914,2008,25,11.10,1.85,0.85,2.90,1.36,0.00,0.00,0.00,0.16,0.01,18.23,Polychaeta,152.56,70.34,11.97,64.47,97.29,0.00,0.00,0.00,1.76,0.34,398.73,Polychaeta,10570,270,3083,43,307,0,0,0,20,33,14327,Polychaeta
63,BLU0803,26,BR047,,71.385,-162.773,20080917,2008,26,6.31,4.74,0.44,0.15,0.86,0.00,0.01,0.00,0.29,0.17,12.99,Polychaeta,91.73,134.65,6.04,3.33,61.71,0.00,0.14,0.00,3.11,5.07,305.79,Bivalvia,4593,400,1430,147,163,0,3,0,23,67,6827,Polychaeta
64,BLU0803,27,BR077,,71.235,-162.790,20080920,2008,27,2.04,1.77,0.33,0.03,1.39,0.00,0.24,0.00,0.10,0.02,5.91,Polychaeta,28.05,64.85,4.22,0.69,98.94,0.00,6.10,0.00,1.07,0.51,204.43,Ophiuroidea,940,277,1277,40,260,0,10,3,20,57,2883,Crustacea
65,BLU0803,28,BR080,,71.229,-162.325,20080919,2008,28,4.35,0.97,0.63,0.00,0.88,0.00,0.08,0.00,0.05,0.02,6.99,Polychaeta,58.20,30.06,8.10,0.01,63.12,0.00,1.34,0.00,0.58,0.40,161.82,Ophiuroidea,693,323,1960,3,160,0,7,0,7,40,3193,Crustacea
66,BLU0803,29,BR086,,71.187,-162.950,20080901,2008,29,5.81,2.05,0.20,2.42,1.05,0.00,0.01,0.00,0.09,0.10,11.72,Polychaeta,83.29,93.54,2.68,53.85,74.72,0.00,0.14,0.00,0.93,3.20,312.36,Bivalvia,623,270,380,33,127,0,3,3,23,67,1530,Polychaeta
67,BLU0803,30,BR087,,71.185,-162.795,20080902,2008,30,9.82,1.32,0.18,0.10,1.16,0.00,1.08,0.18,0.61,0.11,14.55,Polychaeta,140.19,39.77,2.39,2.12,82.59,0.00,26.98,12.78,6.51,4.63,317.95,Polychaeta,597,190,527,73,173,0,3,3,10,157,1733,Polychaeta
68,BLU0803,31,BR093,,71.141,-163.417,20080902,2008,31,5.43,3.84,0.12,2.09,0.88,0.00,0.00,0.00,0.02,0.12,12.52,Polychaeta,77.18,212.10,1.57,46.54,62.61,0.00,0.00,0.00,0.22,5.15,405.38,Bivalvia,420,233,447,27,70,0,0,0,7,47,1250,Crustacea
69,BLU0803,32,BR098,,71.134,-162.647,20080903,2008,32,5.42,3.31,0.28,0.25,1.44,0.00,2.48,0.00,0.01,3.32,16.51,Polychaeta,77.76,180.74,3.62,5.66,103.16,0.00,57.53,0.00,0.07,137.43,565.96,Bivalvia,633,263,520,57,213,0,37,0,7,160,1890,Polychaeta
70,BLU0803,33,BR099,,71.132,-162.494,20080903,2008,33,4.98,5.83,0.31,0.15,1.39,0.00,1.52,0.00,0.02,3.72,17.92,Bivalvia,69.18,293.25,4.19,3.24,99.10,0.00,33.48,0.06,0.23,161.44,664.17,Bivalvia,563,230,1173,30,343,0,17,10,17,120,2503,Crustacea
71,BLU0803,34,BR100,,71.129,-162.339,20080903,2008,34,7.47,2.14,0.28,0.06,1.33,0.00,1.07,0.01,0.13,1.98,14.48,Polychaeta,106.67,99.23,3.78,1.42,94.92,0.00,17.61,0.89,1.41,84.48,410.41,Polychaeta,663,220,787,23,227,0,3,7,10,83,2023,Crustacea
72,BLU0803,35,KD001,,70.714,-165.253,20080901,2008,35,4.26,0.55,0.06,4.77,0.00,0.00,0.00,0.00,0.00,0.00,9.65,Sipuncula,61.65,19.06,0.76,106.06,0.01,0.00,0.00,0.01,0.04,0.07,187.66,Sipuncula,237,147,47,7,7,0,0,3,0,23,470,Polychaeta
73,BLU0803,36,KD002,,70.710,-165.266,20080901,2008,36,1.99,0.52,0.05,0.56,0.00,0.00,0.00,0.00,0.00,0.01,3.13,Polychaeta,28.82,22.38,0.65,12.47,0.00,0.00,0.00,0.00,0.00,0.15,64.47,Polychaeta,293,147,70,7,3,0,0,0,3,27,550,Polychaeta
74,BLU0803,37,KD003,,70.705,-165.252,20080901,2008,37,3.07,1.02,0.02,8.30,0.00,0.00,0.00,0.00,0.19,0.02,12.63,Sipuncula,45.40,33.35,0.33,184.47,0.02,0.00,0.00,0.00,2.02,0.73,266.32,Sipuncula,467,190,43,13,7,0,0,0,7,17,743,Polychaeta
75,BLU0803,38,KD004,,70.710,-165.240,20080901,2008,38,2.94,0.92,0.03,0.00,0.04,0.00,0.00,0.00,0.00,0.01,3.94,Polychaeta,41.99,33.28,0.37,0.00,2.98,0.00,0.00,0.00,0.00,0.33,78.95,Polychaeta,197,167,30,0,7,0,0,0,7,7,413,Polychaeta
76,BLU0803,39,KD005,,70.710,-165.254,20080901,2008,39,2.18,1.00,0.19,0.00,0.36,0.00,0.00,0.00,0.00,0.03,3.75,Polychaeta,32.54,36.96,2.67,0.00,25.49,0.00,0.00,0.01,0.02,0.80,98.48,Bivalvia,277,140,100,0,10,0,0,3,7,20,557,Polychaeta
77,BLU0803,40,KF001,,70.648,-166.001,20080821,2008,40,3.73,2.73,0.14,1.63,0.00,0.00,0.68,0.00,0.54,0.35,9.80,Polychaeta,55.78,85.75,1.99,36.18,0.05,0.00,17.11,0.01,5.83,16.84,219.54,Bivalvia,813,193,90,43,13,0,7,3,13,43,1220,Polychaeta
78,BLU0803,41,KF003,,70.649,-165.251,20080829,2008,41,3.81,0.19,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.10,5.00,Polychaeta,56.56,7.64,12.05,0.03,0.03,0.00,0.00,0.06,0.00,5.39,81.77,Polychaeta,290,117,97,3,7,0,0,23,0,50,587,Polychaeta
